number,type,name,Lng,Lat
1,岛内常规公交线路,BRT东芳山庄站点,118.1415262,24.48224034
2,岛内常规公交线路,BRT县后站点,118.145939,24.5285311
3,跨区常规公交线路,BRT双十中学站点,118.1501356,24.51994641
4,跨区常规公交线路,BRT同安公交场站站点,118.1330648,24.72230574
5,跨区常规公交线路,BRT同安枢纽站站点,118.1681365,24.47406908
6,跨区常规公交线路,BRT后田站点,118.3001146,24.65494411
7,岛内常规公交线路,BRT文灶站点,118.0980761,24.46854628
8,跨区常规公交线路,BRT潘涂站点,118.1462638,24.64078361
9,差异化公交线路,BRT第一码头站点,118.0671937,24.46438514
10,岛内常规公交线路,BRT蔡塘站点,118.1490761,24.49069851
11,定制公交线路,BRT蔡店站点,118.1412742,24.62887005
12,岛内常规公交线路,BRT高崎机场站点,118.1321248,24.54215578
13,跨区常规公交线路,IOI棕榈城站点,118.0717507,24.60138948
14,岛内常规公交线路,SM兴山路站点,118.121569,24.50352971
15,岛内常规公交线路,SM城市广场2站点,118.1219827,24.50408625
16,跨区常规公交线路,SM城市广场站点,118.121539,24.50350668
,,,,
18,空港快线,T3候机楼(空港快线站)站点,118.1272229,24.53363524
19,空港快线,T4候机楼(空港快线站)站点,118.1272229,24.53363524
,,,,
21,跨区常规公交线路,TDK站点,118.1097463,24.60782032
22,岛内常规公交线路,一中站点,117.935945,24.5687821
23,跨区常规公交线路,一农公交场站站点,117.9449395,24.52622805
24,漳州城际公交线路,一号路站点,118.1775141,24.46991793
25,岛内常规公交线路,七十三集团军医院站点,118.0927975,24.46204561
26,跨区常规公交线路,七星公交场站站点,118.0675802,24.4667071
27,跨区常规公交线路,七星西路站点,118.0928275,24.48987723
28,岛内常规公交线路,七星路口站点,118.0939791,24.48904511
29,岛内常规公交线路,万寿宾馆站点,118.0993214,24.46257952
30,岛内常规公交线路,万寿站点,118.1048653,24.46250062
31,岛内常规公交线路,万景花园站点,118.1050082,24.50844088
32,岛内常规公交线路,万翔商务中心站点,118.1191617,24.55068863
33,岛内常规公交线路,万翔物流园站点,118.1231901,24.55519545
34,跨区常规公交线路,三中站点,118.1164441,24.51430391
35,跨区常规公交线路,三兴社区站点,118.0258904,24.64536111
